artist,songs
The Kooks,"Do you want to go to the seaside? I'm not trying to say that everybody wants to go I fell in love at the seaside I handled my charm with time and slight of hand  Do you want to go to the seaside? I'm not trying to say that everybody wants to go I fell in love at the seaside She handled her charm with time and slight of hand, and oh  But I'm just trying to love you In any kind of way But I find it hard to love you girl When you're far away Away  Do you want to go to the seaside? I'm not trying to say that everybody wants to go But I fell in love on the seaside On the seaside In the seaside"
The Kooks,I'm not saying it was your fault Although you could have done more  Oh you're so naive yet so  How could this be done Your such a smiling sweetheart Oh and your sweet and pretty face In such an ugly way Something so beautiful That everytime I look inside  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I may say it was your fault 'Cause I know you could have done more  Oh you're so naive yet so  How could this be done By such a smiling sweetheart Oh and your sweet and pretty face In such an ugly way something so beautiful Every time I look inside  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  I know that she knows that I'm not fond of asking True or false it may be She's still out to get me  How could this be done By such a smiling sweetheart  Oh you're so naive yet so  Such an ugly thing Someone so beautiful And everytime you're on his side  I know she knows that I'm not fond of asking True or false it maybe be she's still out to get me  And I know she knows that I'm not fond of asking True or false it maybe be she's still out to get me  Just don't let me down Just don't let me down Hold on to your kite Just don't let me down Just don't let me down Hold on to your kite Just don't let me down Just don't let me down Hold on to this kite Just don't let me down
The Kooks,"We're just having a good time, honey No need to apply No pressure  We're just having a good time, honey No need to apply No pressure  We're just having a good time, honey"
The Kooks,"Sitting in my room painting the world And the kids are not alright Good England thrown to the wolves And the lunatics taking over Heaven I found under my demons And the smoking gun that you found Lying on the ground I'm just sitting painting the world And the kids are not alright  When I don't have a choice, that's when I find my voice I'm not trying to be what you want me to be I'm not your friend, I'm your Queen You're quickly losing your scene I'm not trying to be what you want me to be Woah (woah woah) Woah (woah woah) Woah (woah woah) Woah The kids are not alright  Standing up in front of a mountain And I don't want to fight The clouds answer to no one They don't need the sun The streets are dark and the gas light leads me Soon I'm out of sight Howling back Back at the moon  I'm just sitting painting the world And the kids are not alright  When I don't have a choice That's when I find my voice I'm not trying to be what you want me to be I'm not your friend, I'm your Queen You're quickly losing your scene I'm not trying to be what you want me to be Woah (woah woah) Woah (woah woah) Woah (woah woah) Woah The kids are not alright  Woah (woah woah) Woah (woah woah) Woah (woah woah) Woah (woah woah) Woah (woah woah) Woah The kids are not alright"
The Kooks,"Why don't you stay here? I wanna spend some time Why don't you lay here? Make the full moon cry Why don't you love me the way I want you to? You cut up the best dress I ever bought for you  But you don't have to doubt or figure me out Let me show you the way it's gonna be You don't have to doubt what it's all about See the light that leads you here, we can find a way  I want you to be here all the time I want you to be here when I die I want you, you, just don't ask why I want you, you, all the time I want you  Your scent brings me flowers, your heart, it brings me wine All of these hours, I wanna do that time Your love is such hardship, but work I'm pleased to do And my back is breaking, fire I'll walk through  You don't have to doubt or figure it out See the light that leads you here, we can find a way  I want you to be here all the time I want you to be here when I die I want you, you, just don't ask why I want you, you, all the time I want you  We don't need the seas to separate No regret See the storm in you against your own Cigarette  And you don't have to doubt what it's all about Darkness coming down, night is all around  I want you to be here all the time I want you to be here when I die I want you, you, just don't ask why I want you, you, all the time I want you to be here all the time I want you to be here when I die I want you, you, just don't ask why I want you, you, all the time I want you"
The Kooks,"I got a window I'm trying to live inside I got a lover And she's kind of kind She got a feeling Like I'm somebody else I'm gonna run with that Until I let her know I'm not a body I'm just a soul  High on the buzz Trying to separate You are the pulse You the falling rain  Don't stop, don't stop believing Time stop, you'd better believe it When the day is almost over And the clouds are in the sea When my life has all been lived Even though I didn't love you You made me believe  Da, da, da, da Da, da, da, da In love Da, da, da, da Da, da, da, da  Black widow Crawling down my spine I wanna break free I wanna stay alive I got a feeling Like I'm somebody else I'm gonna run with that Until I let her know I'm not a body I'm just a soul  High on the buzz Trying to separate You are the pulse You the falling rain  Don't stop, don't stop believing Time stop, you'd better believe it When the day is almost over And the clouds are in the sea When my life has all been lived Even though I didn't love you You made me believe  In love In love In love  Don't stop, don't stop believing Time stop, you'd better believe it When the day is almost over And the clouds are in the sea When my life has all been lived Even though I didn't love you You made me believe  Da, da, da, da Da, da, da, da In love Da, da, da, da Da, da, da, da Da, da, da, da Da, da, da, da Da, da, da, da"
The Kooks,"I'll never give your love I'll never give your love away Remember love When we weren't so fractured and dazed  In a world Where we try to hurt each other I know you feel bad For what you did and how you recovered  I'm a blessed man Just to have touched your face But then again Who are you to make me replace that  And if I was you I'd have done the same When lies meant truth to you It was you who loved the fame  I'll never give your love I'll never give your love away Whoa whoa I'll never give you up No matter what you say Whoa whoa  Blue eyes And a flicker of wonder in you Shadows of youth Never a greater sorrow  Five hundred years in the wild with you Wouldn't be enough We flying Too crazy to imitate  And if I was you I'd have done the same When lies meant truth to you It was you who loved the fame  I'll never give your love I'll never give your love away Whoa whoa Remember love, remember love When we weren't so fractured and dazed Whoa whoa  I'll never give your love I'll never give your love away Whoa whoa I'll never give you up No matter what you say  Never give you up Never give, never give you up So fractured and dazed  No no So so fractured and dazed Remember love  You're so fractured and dazed  And if I was you I'd have done the same"
The Kooks,"Uh uh  Uh uh  Uh uh  Uh uh   Hard times in the city I get over, I get under Don't it make you feel dizzy? All the anger I don't mean to be jealous But my eyes have seen you with fellas I find it hard to be part of the city when it's so unjust It makes me feel like I wanna die, that's why  I don't drink alone (I never drink alone) I got a big fine mamma at home (I can't get enough) She calls me chicken bone (My midnight tone) And the she rolls me like a stone (I just can't get enough)  Bricked up in the city and the buildings are laughing Pay check burning my pocket Going to buy a gold chain and a locket Makes me feel like I'm gonna lie, that's why  I don't drink alone (I never drink alone) I got a big fine mamma at home (I can't get enough) She calls me chicken bone (My midnight tone) And the she rolls me like a stone (I just can't get enough)  She sings when it's over When it's over she sings She doesn't worry as I walk out the door 'Cause tomorrow I'll bring Two small chocolates and a bottle of wine A very nice time All my pennies, my farthings for my mortgage that I'm under At her place all the sorrows of the world can wait 'til tomorrow She makes me feel like it's alright, that's why  I don't drink alone (I never drink alone) I got a big fine mamma at home (I can't get enough) She calls me chicken bone (My midnight tone) And the she rolls me like a stone (I just can't get enough)  I don't drink alone (I never drink alone) I got a big fine mamma at home (I can't get enough) She calls me chicken bone (My midnight tone) And the she rolls me like a stone (I just can't get enough) Like a stone Like a stone (I just can't get enough) Like a stone Like a stone (I just can't get enough) Like a stone"
The Kooks,"Sitting in a mess still undressed As the kettle whistle blows Paperback novelette still open And the door is closed  You got a real sick mind You write a column for The Times For all the lovers gone blind Who are looking for a sign  And when the night is over And the drugs are gone All you've got is your four leaf clover You keep inside your coat And when the night is over And the drugs are gone You feel the world is getting colder You got no one to hold  Six pages down and she's lighting up Her train-wreck soul She was abandoned by her lover Left by the road So apalling, scrawling those bullshit words It's thirsty work She'll stumble down to the boozer Just to have a flirt  You got a real sick mind You write a column for The Times For all the lovers gone blind Who are looking for a sign  And when the night is over And the drugs are gone All you've got is your four leaf clover You keep inside your coat And when the night is over And the drugs are gone You feel the world is getting colder You got no one to hold You got no one to hold  You got a real sick mind You got a real sick mind  And when the night is over And the drugs are gone All you've got is a four leaf clover You keep inside your coat And when the night is over And the drugs are gone You feel the world is getting colder You got no one to hold  You got no one to hold You got no one to hold You got no one to hold"
The Kooks,"She stands there looking down Now she don't come around High on the wire, a beautiful liar Tesco Disco made me run For those warm cans in the sun Now you just order the wine and break out a line Where did you go, sweet Caroline? The girl I used to know  Oh, don't you see now What you're supposed to do? 'Cause you got it bad, sister, the ghosts got the best of you And, oh, don't you notice no one's looking out for you? Yeah you got it bad sister, you do I'm looking out for you  All the boys you brought back home They'd go out and we get stoned Just you and I Laugh 'til we cry I miss playing computer games You'd get pissed and call me names All them coffee stains Ingrained in my brain Where did you go, sweet Caroline? The girl I used to know  Oh don't you see now What you're supposed to do? Yeah, you got it bad, sister The ghosts got the best of you And, oh, don't you notice no one's looking out for you Yeah you got it bad sister, you do I'm looking out for you  I can't follow, I can't follow you down It's your choice it's your life it's the bed that you lay in tonight I don't know him, I never did He's drowning your voice, he's keeping you here I'm no good at goodbyes I never was it's time to be leaving because  You don't see now what you're supposed to do Yeah, you got it bad, sister The ghosts got the best of you And oh don't you notice no one looking out for you Yeah, you got it bad, sister you do I'm looking out for you Oh, you got it bad sister, you do There's nothing I can do"
The Kooks,"I know I was a fool when I first met you, girl But once I was a danger to myself But one look at you and all that was changed, girl I knew in my heart that I'd been saved  Because I Iove to love you You got me tied down my, honey bee And yes, I love to love you the way that I do You were always on my mind So I say it one more time I love you I love you  Once I thought that life was just a wasteland Friends and power were all I craved One look at you and I was changed, girl I know in my heart I had been saved  Because I love to love you You got me tied down my, honey bee And yes, I love to love you the way I do You were always on my mind So I say it one more time I love you I love you"
