link,song,group
https://www.lyrics.com/lyric/36189158/Alicia+Keys/Truth,Truth,Alicia Keys
https://www.lyrics.com/lyric/35347587/Alicia+Keys/No+One,No One,Alicia Keys
https://www.lyrics.com/lyric/35347573/Alicia+Keys/Waiting+for+Tonight,Waiting for Tonight,Alicia Keys
https://www.lyrics.com/lyric/35347550/Alicia+Keys/System+Addict,System Addict,Alicia Keys
https://www.lyrics.com/lyric/34843890/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/35027821/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/34868129/Alicia+Keys/Blended+Family+%28What+You+Do+for+Love%29,Blended Family (What You Do for Love),Alicia Keys
https://www.lyrics.com/lyric/35088426/Alicia+Keys/Girl+on+Fire,Girl on Fire,Alicia Keys
https://www.lyrics.com/lyric/34725091/Alicia+Keys/Morning+Light,Morning Light,Alicia Keys
https://www.lyrics.com/lyric/34033673/Alicia+Keys/Wrong+Impression,Wrong Impression,Alicia Keys
https://www.lyrics.com/lyric/34547289/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/33903413/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/33811129/Alicia+Keys/Holy+War,Holy War,Alicia Keys
https://www.lyrics.com/lyric/33829073/Alicia+Keys/Empire+State+of+Mind%2C+Pt.+2+%28Broken+Down%29,"Empire State of Mind, Pt. 2 (Broken Down)",Alicia Keys
https://www.lyrics.com/lyric/34980622/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/33706086/Alicia+Keys/Fallin%27,Fallin',Alicia Keys
https://www.lyrics.com/lyric/34890166/Alicia+Keys/Nobody,Nobody,Alicia Keys
https://www.lyrics.com/lyric/34174945/Alicia+Keys/Nobody,Nobody,Alicia Keys
https://www.lyrics.com/lyric/34095743/Alicia+Keys/Nobody,Nobody,Alicia Keys
